"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G01Q03","G02Q02","G03Q03","G03Q04","G03Q05","G03Q06","G05Q08","G04Q07","G05Q09","G06Q21","G06Q21[other]","G05Q10","G05Q10Copy","G05Q11","G05Q23","Systemabhaengigkeit","GruppeA","Gruppe2","G07Q19","G07Q16","G07Q17","G07Q18","G08Q27","G12Q25[SQ001]","G12Q25[SQ002]","G12Q25[SQ003]","G11Q41","G12Q42","G13Q27","interviewtime","groupTime23621","G01Q03Time","groupTime23623","G02Q02Time","groupTime23624","G03Q03Time","G03Q04Time","G03Q05Time","G03Q06Time","groupTime23790","G05Q08Time","groupTime23625","G04Q07Time","G05Q09Time","G06Q21Time","G05Q10Time","G05Q10CopyTime","G05Q11Time","G05Q23Time","groupTime24060","SystemabhaengigkeitTime","GruppeATime","Gruppe2Time","groupTime24213","G07Q19Time","groupTime24198","G07Q16Time","G07Q17Time","G07Q18Time","G08Q27Time","groupTime24880","G12Q25Time","groupTime24867","G11Q41Time","groupTime24281","G12Q42Time","groupTime24282","G13Q27Time"
"49","2026-03-27 19:21:59","12","de","1121956947","2026-03-27 19:07:57","2026-03-27 19:21:59","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Appenzell Ausserrhoden (AR)","Appenzell Ausserrhoden (AR)","3 - Eher links","6","1","",,"","1/4","Keine der oben genannten","2043","2038","5","3","5","Aufmerksames lesen","","","846.16","5.2",,"3.74",,"21.52",,,,,,,"74.47",,,,,,,,"227.69",,,,"305.18",,"69.68",,,,,"34.66",,"21.52",,"77.1",,"5.4",
"50",,"7","de","681783779","2026-03-27 19:12:22","2026-03-27 19:24:05","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Tessin / Ticino (TI)","Tessin / Ticino (TI)","5 - Eher rechts","5","1","",,"",,,,,"","","",,,,"827.91","46.86",,"12.89",,"12.86",,,,,,,"248.54",,,,,,,,"245.74",,,,"261.02",,,,,,,,,,,,,,
"51",,"4","de","491680999","2026-03-27 20:31:14","2026-03-27 20:31:36","","","20","Ja","Ja","Nein",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"22.11","4.14",,"3.81",,"14.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52",,"5","de","580750267","2026-03-27 20:33:08","2026-03-27 20:34:40","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","10","2",,,,,,,,"","","",,,,"91.41","3.59",,"3.92",,"19.1",,,,,,,"64.8",,,,,,,,,,,,,,,,,,,,,,,,,,
"53",,,"de","1945046392","2026-03-27 20:33:19","2026-03-27 20:33:19",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54",,"1","de","684157313","2026-03-27 21:00:17","2026-03-27 21:00:41","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"24.46","24.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55",,"11","de","1586218244","2026-03-27 22:20:12","2026-03-27 22:41:26","","","22","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Aargau (AG)","Freiburg / Fribourg (FR)","3 - Eher links","1","2",,"","","1/3","Journalist für Keystone-SDA","2058","2028","3","1 (stimme überhaupt nicht zu)","5","Durch did 15min nicht wirklich erkennbar","",,"1389.94","14.59",,"3.57",,"37.66",,,,,,,"187.02",,,,,,,,"227.67",,,,"203.57",,"94.51",,,,,"35.22",,"581.95",,"4.18",,,
"56",,"11","de","1986767125","2026-03-27 22:25:49","2026-03-27 22:46:04","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","St. Gallen (SG)","St. Gallen (SG)","3 - Eher links","55","2",,"","","2/5","Keine der oben genannten","2038","2058","5","3","5","In Abhängigkeit vom ersten Text (wie sehr man von der Regierung abhängig ist) wie gut man sich an die Infos aus dem zweiten Text erinnern kann","",,"1216.95","63.03",,"21.78",,"14.9",,,,,,,"365.87",,,,,,,,"229.1",,,,"325.51",,"63.71",,,,,"34.19",,"45.16",,"53.7",,,
"57",,"1","de","2053595244","2026-03-28 01:29:35","2026-03-28 01:29:54","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"18.19","18.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58",,"11","de","820915176","2026-03-28 01:53:18","2026-03-28 02:09:18","","","24","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Bern (BE)","Bern (BE)","2 - Links","2","1","",,"","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","4","2","5","Was wir davon halten, wie unsere Regierung Einfluss auf unseren Alltag hat","",,"963.2","38.69",,"13.21",,"21.13",,,,,,,"77.62",,,,,,,,"206.11",,,,"357.26",,"64.84",,,,,"38.42",,"63.25",,"82.67",,,
"59",,"5","de","1730995408","2026-03-28 06:38:44","2026-03-28 06:42:03","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","3","1",,,,,,,,"","","",,,,"311.15","44.68",,"21.99",,"21.62",,,,,,,"222.86",,,,,,,,,,,,,,,,,,,,,,,,,,
"60","2026-03-28 09:19:16","12","de","2007975174","2026-03-28 08:55:32","2026-03-28 09:19:16","","","20","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","1","2",,"","","3/5","Keine der oben genannten","2058","2034","3","2","5","Um herauszufinden, ob die Verantwortung/ Autorität des Bundes das Antwortverhalten beeinflusst (schlechte Entscheidungen/ Vorhersagen -> mich beeinflussen diese Entscheidungen persönlich/ unzufrieden mit den staatlichen Entscheidungen)","","","1426.3","8.83",,"15.34",,"47.38",,,,,,,"72.38",,,,,,,,"145.52",,,,"283.68",,"190.01",,,,,"76.01",,"444.24",,"119.79",,"23.12",
"61",,"11","de","1450329898","2026-03-28 09:27:38","2026-03-28 09:38:27","","","20","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","2","1","",,"","3/5","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","2","3","5","Inwiefern der erste Text das Merken des zweiten beeinflusst","",,"652.04","3.76",,"4.69",,"20.57",,,,,,,"60.07",,,,,,,,"123.28",,,,"214.08",,"37.82",,,,,"28.84",,"124.95",,"33.98",,,
"62","2026-03-28 09:45:22","12","de","1896189211","2026-03-28 09:31:38","2026-03-28 09:45:22","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","5 - Eher rechts","2","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","3","5","Messung der Aufmerksamkeit","","","780.88","18.68",,"25.84",,"18.36",,,,,,,"68.71",,,,,,,,"126.46",,,,"375.02",,"71.84",,,,,"31.53",,"21.21",,"21",,"2.23",
"63",,,"de","1190774483","2026-03-28 09:52:30","2026-03-28 09:52:30",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64",,,"de","2047945842","2026-03-28 09:54:32","2026-03-28 09:54:32",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65","2026-03-28 10:19:16","12","de","533151950","2026-03-28 09:55:40","2026-03-28 10:19:16","","","24","Ja","Ja","Nein",,"Ja","Weiblich","Bachelorabschluss (Universität/ETH)","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","0","1","",,"","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","4","3","5","Aufgrund politischer Orientierung gebiastes Lesen von Zeitungsartikeln und selektive Informationsaufnahme","","","1417.64","26.3",,"61.17",,"19.96",,,,,,,"75.79",,,,,,,,"123.37",,,,"927.65",,"44.49",,,,,"26.91",,"74.73",,"29.23",,"8.04",
"66",,,"de","302301995","2026-03-28 09:59:43","2026-03-28 09:59:43",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67",,"11","de","1509804514","2026-03-28 10:00:34","2026-03-28 10:10:32","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Keine Angabe","4 - Mitte","0","2",,"","","1/4","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","Keine der oben genannten","4","4","5","Recency Effekt ","",,"600.36","11.32",,"27.93",,"23.27",,,,,,,"51.4",,,,,,,,"125.37",,,,"183.79",,"55.07",,,,,"25.74",,"11.64",,"84.83",,,
"68",,"11","de","772978188","2026-03-28 10:16:55","2026-03-28 10:27:19","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","3","1","",,"","1/3","Professor für Datenanalyse","2038","2058","4","2","5","Aufmerksamkeit zu prüfen ","",,"624.15","2.99",,"2.82",,"12.53",,,,,,,"34.2",,,,,,,,"130.9",,,,"189.04",,"191.6",,,,,"26.39",,"22.16",,"11.52",,,
"69",,"1","de","851125780","2026-03-28 10:24:59","2026-03-28 10:25:01","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"2.78","2.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70","2026-03-28 10:38:57","12","de","1382833155","2026-03-28 10:25:16","2026-03-28 10:38:57","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zug (ZG)","Zug (ZG)","5 - Eher rechts","4","2",,"","","1/4","Professor für Datenanalyse","2038","2058","5","3","5","Wie unterschiedlich geschriebene Texte verarbeitet/erinnert werden","","","895.31","26.71",,"19.63",,"23.13",,,,,,,"90.33",,,,,,,,"157.13",,,,"230.64",,"75.36",,,,,"29.1",,"70.33",,"31.66",,"141.29",
"71","2026-03-28 11:09:24","12","de","633955366","2026-03-28 10:55:29","2026-03-28 11:09:24","","","22","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","20","2",,"","","1/3","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2034","2053","5","5","5","Wie gut man sich kürzlich gelesene Textinhaltw merken kann","","","896.06","37.43",,"25.12",,"17.77",,,,,,,"53.52",,,,,,,,"146.15",,,,"262.64",,"67.05",,,,,"34.23",,"52.25",,"79.34",,"120.56",
"72",,"11","de","1679704083","2026-03-28 11:12:32","2026-03-28 11:24:41","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Schwyz (SZ)","Luzern (LU)","2 - Links","5","1","",,"","Keine der oben genannten","Keine der oben genannten","2038","2058","5","6","5","Vielleicht irgendetwas bezüglich Aufmerksamkeit.","",,"730.45","25.94",,"13.66",,"21.61",,,,,,,"98.9",,,,,,,,"129.76",,,,"284.05",,"72.84",,,,,"21.24",,"24.29",,"38.16",,,
"73",,"4","de","1186617709","2026-03-28 11:55:54","2026-03-28 11:56:18","","","24","Ja","Ja","Nein",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"25.07","11.45",,"3.39",,"10.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74",,,"de","1833805790","2026-03-28 13:23:08","2026-03-28 13:23:08",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75",,"11","de","249795328","2026-03-28 13:23:12","2026-03-28 13:36:25","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zug (ZG)","Zug (ZG)","4 - Mitte","10","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","4","2","5","Zu merken wie genau man den Text liest und wie viel liegen bleibt.","",,"795.61","56.22",,"5.03",,"20.91",,,,,,,"51.89",,,,,,,,"123.76",,,,"218.91",,"234.87",,,,,"31.47",,"26.82",,"25.73",,,
"76",,"1","de","262132699","2026-03-28 13:23:15","2026-03-28 13:23:22","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"7.67","7.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77",,"11","de","1507623739","2026-03-28 13:23:29","2026-03-28 13:35:07","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Luzern (LU)","Luzern (LU)","3 - Eher links","4","1","",,"","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","2","1 (stimme überhaupt nicht zu)","5","Vielleicht eine Untersuchung, wie sehr der erste Text, bezüglich der fehlenden Beeinflussung durch den Bundesrat auf persönlicher Ebene, die Antworten nachher beeinflusst?","",,"700.14","4.08",,"8.05",,"22.45",,,,,,,"55.94",,,,,,,,"123.11",,,,"225.96",,"78.48",,,,,"24.7",,"73.49",,"83.88",,,
"78","2026-03-28 13:42:37","12","de","672597033","2026-03-28 13:24:02","2026-03-28 13:42:37","","","23","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Aargau (AG)","2 - Links","3","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","7 (stimme voll und ganz zu)","3","5","Boa keine Ahnung, vielleicht wie detailgetreu die Erinnerung war","","","1115.49","55.11",,"26.74",,"22.64",,,,,,,"80.94",,,,,,,,"127.02",,,,"222.39",,"65.03",,,,,"350.53",,"76.15",,"74.08",,"14.86",
"79","2026-03-28 13:36:09","12","de","1125679339","2026-03-28 13:25:08","2026-03-28 13:36:09","","","19","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Luzern (LU)","Luzern (LU)","Keine Angabe","1","1","",,"","2/5","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2058","2038","2","3","5","ich denke es ging darum wie aufmerksam man war, während man den Text gelesen hat","","","747.41","20.63",,"9.98",,"18.97",,,,,,,"46.93",,,,,,,,"127.89",,,,"185.67",,"52.7",,,,,"35.69",,"47.59",,"35.51",,"165.85",
"80",,,"de","387445889","2026-03-28 13:25:57","2026-03-28 13:25:57",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81",,,"de","434944511","2026-03-28 13:26:26","2026-03-28 13:26:26",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82",,,"de","353227709","2026-03-28 13:27:48","2026-03-28 13:27:48",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"83","2026-03-28 13:41:22","12","de","1827982579","2026-03-28 13:28:18","2026-03-28 13:41:22","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Luzern (LU)","Luzern (LU)","3 - Eher links","10","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2028","6","5","5","Textverständnis mit angezeigter Zeitangabe ","","","790.73","2.4",,"17.31",,"13.26",,,,,,,"52.18",,,,,,,,"213.31",,,,"240.01",,"60.33",,,,,"39.79",,"37.75",,"31.99",,"82.4",
"84",,,"de","426855097","2026-03-28 13:30:20","2026-03-28 13:30:20",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85",,"11","de","850929797","2026-03-28 13:34:46","2026-03-28 13:44:58","","","28","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","4 - Mitte","10","1","",,"","3/4","Professor für Datenanalyse","2038","2058","3","2","5","Konzentrationstest","",,"615.75","4.2",,"6.71",,"16.05",,,,,,,"61.62",,,,,,,,"129.41",,,,"213.2",,"70.44",,,,,"32.12",,"17.6",,"64.4",,,
"86",,"1","de","915569248","2026-03-28 13:39:54","2026-03-28 13:40:32","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"38.16","38.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87",,"11","de","1934525131","2026-03-28 14:05:44","2026-03-28 14:23:37","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Schwyz (SZ)","Luzern (LU)","Keine Angabe","14","1","",,"","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","3","5","Vielleicht um zu sehen ob der erste Artikel die eigene Meinung beeinflusst.","",,"1074.98","40.37",,"21.54",,"19.82",,,,,,,"109.51",,,,,,,,"162.17",,,,"229.96",,"281.53",,,,,"51.14",,"29.16",,"129.78",,,
"88",,,"de","791184567","2026-03-28 14:10:07","2026-03-28 14:10:07",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89",,,"de","1377271114","2026-03-28 14:15:06","2026-03-28 14:15:06",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90",,"11","de","559207762","2026-03-28 14:21:39","2026-03-28 15:34:55","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Nidwalden (NW)","Nidwalden (NW)","3 - Eher links","3","1","",,"","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","3","5","Was man in kurzer Zeit merken kann / wie genau man den Text gelesen hat","",,"686.34","6.08",,"14.24",,"24.61",,,,,,,"88.98",,,,,,,,"131.79",,,,"210.02",,"73.94",,,,,"44.92",,"35.26",,"56.5",,,
"91",,,"de","895709537","2026-03-28 14:26:24","2026-03-28 14:26:24",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"92","2026-03-28 15:32:28","12","de","728595305","2026-03-28 15:10:21","2026-03-28 15:32:28","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","St. Gallen (SG)","Wallis / Valais (VS)","4 - Mitte","3","1","",,"","1/3","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","4","3","5","Aufmerksamkeit beim Lesen zwei verschiedener Texte und worauf der Fokus war.","","","1329.33","57.29",,"51.95",,"23.87",,,,,,,"188.72",,,,,,,,"133.07",,,,"434.57",,"108.08",,,,,"67.37",,"156.4",,"84.91",,"23.1",
"93",,"1","de","1183542334","2026-03-28 15:13:19","2026-03-28 15:13:39","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"20.08","20.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94",,"3","de","2035620543","2026-03-28 15:13:52","2026-03-28 15:14:52","","","17","Ja","Ja","Nein",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"60.42","27.18",,"8.75",,"24.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95",,"1","de","1120107900","2026-03-28 15:16:50","2026-03-28 15:16:53","",,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"3.31","3.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96","2026-03-28 15:33:30","12","de","1904337831","2026-03-28 15:18:06","2026-03-28 15:33:30","","","21","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","5 - Eher rechts","2","1","",,"","3/5","Keine der oben genannten","2058","2038","5","3","5","Ka","","","925.73","5.26",,"7.91",,"42.58",,,,,,,"64.57",,,,,,,,"184.91",,,,"514.57",,"38.34",,,,,"30.11",,"14.62",,"13.21",,"9.65",
"97","2026-03-28 15:29:19","12","de","541550326","2026-03-28 15:18:44","2026-03-28 15:29:19","","","23","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Thurgau (TG)","Thurgau (TG)","4 - Mitte","7","2",,"","","3/5","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2028","4","3","5","keine Ahnung","","","697.67","8.21",,"4.99",,"16.53",,,,,,,"76.29",,,,,,,,"124.39",,,,"206.2",,"75.83",,,,,"42.51",,"11.2",,"10.32",,"121.2",
"98",,"7","de","2022249859","2026-03-28 15:21:59","2026-03-28 15:28:40","","","29","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Fachhochschule (FH))","","Luzern (LU)","Nidwalden (NW)","3 - Eher links","10","1","",,"",,,,,"","","",,,,"403.49","3.74",,"5.58",,"13.84",,,,,,,"56.06",,,,,,,,"125.39",,,,"198.88",,,,,,,,,,,,,,
"99",,"5","de","1649284191","2026-03-28 15:22:53","2026-03-28 15:25:09","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Keine Angabe","Keine Angabe","2","1",,,,,,,,"","","",,,,"136.99","3.47",,"7.31",,"17.04",,,,,,,"109.17",,,,,,,,,,,,,,,,,,,,,,,,,,
"100",,,"de","1335775689","2026-03-28 15:25:05","2026-03-28 15:25:05",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101",,,"de","1820548457","2026-03-28 15:32:37","2026-03-28 15:32:37",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102",,,"de","180761016","2026-03-28 15:36:28","2026-03-28 15:36:28",,,,"N. v.","N. v.","N. v.",,"N. v.",,,,,,,,,,,,,,,,"","","",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103","2026-03-28 16:11:43","12","de","1986785934","2026-03-28 16:02:12","2026-03-28 16:11:43","","","22","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zug (ZG)","Zug (ZG)","2 - Links","20","2",,"","","Keine der oben genannten","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","4","5","Je mehr man vom Gesundheitswesen abhängig ist, desto genauer liest man den Text.","","","624.98","6.39",,"11.28",,"16.77",,,,,,,"40.81",,,,,,,,"123.01",,,,"190.59",,"41.55",,,,,"21.62",,"39.13",,"29.16",,"104.67",
"104",,"5","de","2102496443","2026-03-28 16:12:06","2026-03-28 16:13:17","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","20","1",,,,,,,,"","","",,,,"72.79","4.79",,"7.55",,"15.07",,,,,,,"45.38",,,,,,,,,,,,,,,,,,,,,,,,,,
"105","2026-03-28 16:36:19","12","de","2122317745","2026-03-28 16:25:23","2026-03-28 16:36:19","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Aargau (AG)","Aargau (AG)","Keine Angabe","30","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","5","6","5","Aufmerksamkeit testen. Genauigkeit im lesen.","","","744.75","7.39",,"12.11",,"13.33",,,,,,,"52.67",,,,,,,,"156.15",,,,"185.57",,"59.66",,,,,"28.78",,"24.94",,"30.14",,"174.01",
"106",,"11","de","482763478","2026-03-28 16:45:07","2026-03-28 16:55:28","","","25","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Universität/ETH)","","Luzern (LU)","Luzern (LU)","3 - Eher links","4","2",,"","","1/3","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2058","2038","5","5","5","Wie Texte verarbeitet werden","",,"623.78","23.62",,"9.58",,"14.67",,,,,,,"43.87",,,,,,,,"125.68",,,,"221.77",,"68.14",,,,,"27.13",,"25.71",,"63.61",,,
"107","2026-03-28 17:03:59","12","de","223009005","2026-03-28 16:52:23","2026-03-28 17:03:59","","","21","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","3 - Eher links","1","1","",,"","1/2","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2038","2058","3","4","5","Wie gut ich verschiedene texte aufnehmen kann","","","695.49","2.79",,"7.17",,"16.88",,,,,,,"84.98",,,,,,,,"142.93",,,,"256.4",,"52.57",,,,,"28.07",,"26.98",,"42.68",,"34.04",
"108","2026-03-28 17:14:20","12","de","1668802997","2026-03-28 17:02:23","2026-03-28 17:14:20","","","25","Ja","Ja","Nein",,"Nein","Weiblich","Bachelorabschluss (Universität/ETH)","","Luzern (LU)","Luzern (LU)","3 - Eher links","6","1","",,"","1/4","BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts","2058","2038","3","3","5","Welche Informationen aus einem Text man eher erinnern und abrufen kann. 
Gibt es Unterschiede zwischen dem erstgelesenen und zweitgelesenen Text. ","","","790.53","37.84",,"20.24",,"19.48",,,,,,,"60.06",,,,,,,,"129.62",,,,"194.6",,"59.3",,,,,"40.17",,"49.01",,"38.4",,"141.81",
"109","2026-03-28 17:25:43","12","de","1109858905","2026-03-28 17:13:11","2026-03-28 17:25:43","","","20","Ja","Ja","Nein",,"Nein","Weiblich","Gymnasium/Maturität","","Zürich (ZH)","Luzern (LU)","2 - Links","15","1","",,"","2/5","Journalist für Keystone-SDA","2038","2034","6","4","5","Zu analysieren, wie viel sich Menschen merken können mit zwei Texten, die man kurz aufeinander lesen muss sowie ob der Text unsere Meinung beeinflusst.","","","904.82","3.25",,"4.22",,"17.94",,,,,,,"70.8",,,,,,,,"124.13",,,,"183.76",,"84.75",,,,,"31.18",,"52.78",,"31.6",,"300.41",
"110","2026-03-28 17:30:48","12","de","175126202","2026-03-28 17:15:39","2026-03-28 17:30:48","","","18","Ja","Ja","Nein",,"Nein","Männlich","Gymnasium/Maturität","","Zürich (ZH)","Zürich (ZH)","2 - Links","10","1","",,"","Keine der oben genannten","Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL","2038","2058","2","2","5","Erinnerung ","","","911.38","3.37",,"2.9",,"29.09",,,,,,,"97.31",,,,,,,,"172.44",,,,"361.6",,"66.18",,,,,"61.29",,"53.96",,"45.75",,"17.49",
