"";"id";"Datum_Abgeschickt";"Schlussseite";"Sprache";"Zufallsstartwert";"Datum_erste_aktivität";"Datum_letzte_aktivität";"Alter";"Deutschkenntnisse";"Hauptwohnsitz";"Sehbeeinträchtigung";"Bezug_zum_Gesundheitssystem";"Geschlecht";"Bildungsabschluss";"Bildungsabschluss_Sonstiges";"Wo_Medizinische_Leistung";"Wo_Krankenversicherung";"pol_Orientierung";"Anzahl_pers_Kontakte_mit_Gesundheitssystem";"Systemabhängigkeit_Gruppe";"MC_Anteil";"MC_Quelle";"MC_Jahr_falsch";"MC_Jahr_korrekt";"M_Check_pers_Auswirkung";"M_Check_Erfolg";"M_Check_Kontrollfrage";"Studienziel";"Gesamtzeit"
"11";15;"2026-03-27 14:45:19";12;"de";109636047;"2026-03-27 14:10:02";"2026-03-27 14:45:19";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Zug (ZG)";"4 - Mitte";10;2;"Keine der oben genannten";"Professor für Datenanalyse";2038;"2043";"6";"6";5;"politische Einstellung und Einschätzung der Auswirkung des Bundesrats oderso";2178,1
"12";17;"";11;"de";16667023;"2026-03-27 14:22:25";"2026-03-27 14:35:02";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";3;1;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"2";5;"Ob dee Inhalt des Textes eine Einstellung verändert";756,07
"13";19;"2026-03-27 14:46:21";12;"de";1085057402;"2026-03-27 14:31:20";"2026-03-27 14:46:21";22;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";20;1;"1/3";"Journalist für Keystone-SDA";2038;"2058";"5";"2";5;"Möglicherweise etwas mit Priming untersuchen ";970,22
"14";20;"2026-03-27 14:51:22";12;"de";1681135604;"2026-03-27 14:37:05";"2026-03-27 14:51:22";20;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";6;2;"1/2";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"5";"5";5;"evtl. Aufmerksamkeit und Leseverständnis der Leser:innen mit ihrer politischen Meinung/Bildungsgrad zu vergleichen";861,75
"15";23;"2026-03-27 15:09:41";12;"de";1287243216;"2026-03-27 14:58:23";"2026-03-27 15:09:41";24;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Aargau (AG)";"Aargau (AG)";"2 - Links";5;2;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"5";"2";5;"Zusammenhang zwischen politischer Ausrichtung und Bewertung des Gesundheitssystems und des Bundesrates und dessen Wirksamkeit oder Einfluss zu untersuchen.";720,71
"16";24;"2026-03-27 15:21:46";12;"de";1782459611;"2026-03-27 15:10:20";"2026-03-27 15:21:46";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";1;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"5";5;"Messen des Einflusses von Zeitungsartikeln auf politische Einstellung.";688,98
"17";25;"2026-03-27 16:12:55";12;"de";2080211360;"2026-03-27 15:51:41";"2026-03-27 16:12:55";54;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Bachelorabschluss (Fachhochschule (FH))";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";12;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"4";5;"Ich denke, es ging darum zu überprüfen, ob Menschen sich konzentrieren können, wenn sie an Studien teilnehmen.";1277,23
"18";26;"2026-03-27 16:17:16";12;"de";346007308;"2026-03-27 16:06:28";"2026-03-27 16:17:16";21;"Ja";"Ja";"Nein";"Ja";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"6 - Rechts";5;2;"2/5";"Keine der oben genannten";2058;"2038";"3";"5";5;"Unter anderem Feststellen der Aufmerksamkeit von Partizipierenden.";651,62
"19";28;"2026-03-27 16:56:16";12;"de";1224085414;"2026-03-27 16:37:18";"2026-03-27 16:56:16";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";15;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"3";5;"aufnahme von zwei texten direkt hintereinander und konzentriertes lesen";1138,98
"20";29;"2026-03-27 16:59:45";12;"de";994251443;"2026-03-27 16:44:52";"2026-03-27 16:59:45";58;"Ja";"Ja";"Nein";"Nein";"Männlich";"Masterabschluss (Universität/ETH)";NA;"Zürich (ZH)";"Zürich (ZH)";"6 - Rechts";3;1;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"1 (stimme überhaupt nicht zu)";"2";5;"Aufmerksamkeit testen ";895,02
"21";30;"";11;"de";1895571184;"2026-03-27 17:02:09";"2026-03-27 17:11:39";18;"Ja";"Ja";"Nein";"Nein";"Divers";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";0;1;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"4";"2";5;"Keine Ahnung";573,89
"22";33;"2026-03-27 17:27:29";12;"de";709231826;"2026-03-27 17:09:11";"2026-03-27 17:27:29";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";1;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"4";5;"Einfluss des Artikels auf die Meinungsbildung bezüglich dem Einfluss des Bundes auf das persönliche Leben von Schweizer. Durch Ablenkung (2. Artikel) soll die eignen Meinungsbildung verhindert werden und der Einfluss des 1. Artikels auf die Eigene Meinung maximiert. ";1168,03
"23";34;"";11;"de";1230908932;"2026-03-27 17:12:13";"2026-03-27 17:21:50";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"1 - Sehr links";30;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"5";5;"Ich weiss es nicht";577,42
"24";36;"2026-03-27 17:43:06";12;"de";1197561090;"2026-03-27 17:14:42";"2026-03-27 17:43:06";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";2;1;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"2";5;"Den Einfluss des ersten Textes (wahrscheinlich einmal Regierung hat einen Einfluss auf den persönlichen Erfolg von Individuen und einmal nicht) auf die Antworten später zu diesen Fragen.";1618,48
"25";41;"";11;"de";651772221;"2026-03-27 18:19:05";"2026-03-27 18:35:23";23;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Gymnasium/Maturität";NA;"St. Gallen (SG)";"St. Gallen (SG)";"Keine Angabe";7;2;"1/4";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"6";5;"Ob man eine positive Einstellung gegenüber dem Bundesrat hat ";979,22
"26";43;"2026-03-27 20:30:59";12;"de";1701959821;"2026-03-27 18:36:15";"2026-03-27 20:30:59";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"1 - Sehr links";25;2;"1/3";"Journalist für Keystone-SDA";2038;"2058";"5";"5";5;"Systemrechtfertigungsmotiv erforschen und wie es Kognition beeinflusst ";806,33
"27";45;"2026-03-27 18:55:39";12;"de";1721109839;"2026-03-27 18:38:45";"2026-03-27 18:55:39";20;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";6;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"4";5;"Festzustellen, wie verunsichernde Neuinformationen sich auf die persönliche Meinung auswirken.";1017,99
"28";46;"2026-03-27 19:02:05";12;"de";530244533;"2026-03-27 18:49:48";"2026-03-27 19:02:05";24;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Bachelorabschluss (Universität/ETH)";NA;"Zürich (ZH)";"Zürich (ZH)";"5 - Eher rechts";100;1;"1/2";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2053";"4";"2";5;"Welche Art von Informationen man aus einem Artikel entnimmt. Wie leicht man sich beeinflussen lässt durch falsche Angaben in den Fragen. ";738,47
"29";47;"2026-03-27 19:01:52";12;"de";1299231865;"2026-03-27 18:50:02";"2026-03-27 19:01:52";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";4;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"6";"4";5;"Leseverständnis";806,92
"30";49;"2026-03-27 19:21:59";12;"de";1121956947;"2026-03-27 19:07:57";"2026-03-27 19:21:59";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Appenzell Ausserrhoden (AR)";"Appenzell Ausserrhoden (AR)";"3 - Eher links";6;1;"1/4";"Keine der oben genannten";2043;"2038";"5";"3";5;"Aufmerksames lesen";846,16
"31";55;"";11;"de";1586218244;"2026-03-27 22:20:12";"2026-03-27 22:41:26";22;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Aargau (AG)";"Freiburg / Fribourg (FR)";"3 - Eher links";1;2;"1/3";"Journalist für Keystone-SDA";2058;"2028";"3";"1 (stimme überhaupt nicht zu)";5;"Durch did 15min nicht wirklich erkennbar";1389,94
"32";56;"";11;"de";1986767125;"2026-03-27 22:25:49";"2026-03-27 22:46:04";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"St. Gallen (SG)";"St. Gallen (SG)";"3 - Eher links";55;2;"2/5";"Keine der oben genannten";2038;"2058";"5";"3";5;"In Abhängigkeit vom ersten Text (wie sehr man von der Regierung abhängig ist) wie gut man sich an die Infos aus dem zweiten Text erinnern kann";1216,95
"33";58;"";11;"de";820915176;"2026-03-28 01:53:18";"2026-03-28 02:09:18";24;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Bern (BE)";"Bern (BE)";"2 - Links";2;1;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"2";5;"Was wir davon halten, wie unsere Regierung Einfluss auf unseren Alltag hat";963,2
"34";60;"2026-03-28 09:19:16";12;"de";2007975174;"2026-03-28 08:55:32";"2026-03-28 09:19:16";20;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";1;2;"3/5";"Keine der oben genannten";2058;"2034";"3";"2";5;"Um herauszufinden, ob die Verantwortung/ Autorität des Bundes das Antwortverhalten beeinflusst (schlechte Entscheidungen/ Vorhersagen -> mich beeinflussen diese Entscheidungen persönlich/ unzufrieden mit den staatlichen Entscheidungen)";1426,3
"35";61;"";11;"de";1450329898;"2026-03-28 09:27:38";"2026-03-28 09:38:27";20;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";2;1;"3/5";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"2";"3";5;"Inwiefern der erste Text das Merken des zweiten beeinflusst";652,04
"36";62;"2026-03-28 09:45:22";12;"de";1896189211;"2026-03-28 09:31:38";"2026-03-28 09:45:22";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"5 - Eher rechts";2;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"3";5;"Messung der Aufmerksamkeit";780,88
"37";65;"2026-03-28 10:19:16";12;"de";533151950;"2026-03-28 09:55:40";"2026-03-28 10:19:16";24;"Ja";"Ja";"Nein";"Ja";"Weiblich";"Bachelorabschluss (Universität/ETH)";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";0;1;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"3";5;"Aufgrund politischer Orientierung gebiastes Lesen von Zeitungsartikeln und selektive Informationsaufnahme";1417,64
"38";67;"";11;"de";1509804514;"2026-03-28 10:00:34";"2026-03-28 10:10:32";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Keine Angabe";"4 - Mitte";0;2;"1/4";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"Keine der oben genannten";"4";"4";5;"Recency Effekt ";600,36
"39";68;"";11;"de";772978188;"2026-03-28 10:16:55";"2026-03-28 10:27:19";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";3;1;"1/3";"Professor für Datenanalyse";2038;"2058";"4";"2";5;"Aufmerksamkeit zu prüfen ";624,15
"40";70;"2026-03-28 10:38:57";12;"de";1382833155;"2026-03-28 10:25:16";"2026-03-28 10:38:57";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zug (ZG)";"Zug (ZG)";"5 - Eher rechts";4;2;"1/4";"Professor für Datenanalyse";2038;"2058";"5";"3";5;"Wie unterschiedlich geschriebene Texte verarbeitet/erinnert werden";895,31
"41";71;"2026-03-28 11:09:24";12;"de";633955366;"2026-03-28 10:55:29";"2026-03-28 11:09:24";22;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"2 - Links";20;2;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2034;"2053";"5";"5";5;"Wie gut man sich kürzlich gelesene Textinhaltw merken kann";896,06
"42";72;"";11;"de";1679704083;"2026-03-28 11:12:32";"2026-03-28 11:24:41";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Schwyz (SZ)";"Luzern (LU)";"2 - Links";5;1;"Keine der oben genannten";"Keine der oben genannten";2038;"2058";"5";"6";5;"Vielleicht irgendetwas bezüglich Aufmerksamkeit.";730,45
"43";75;"";11;"de";249795328;"2026-03-28 13:23:12";"2026-03-28 13:36:25";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zug (ZG)";"Zug (ZG)";"4 - Mitte";10;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"4";"2";5;"Zu merken wie genau man den Text liest und wie viel liegen bleibt.";795,61
"44";77;"";11;"de";1507623739;"2026-03-28 13:23:29";"2026-03-28 13:35:07";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"3 - Eher links";4;1;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"2";"1 (stimme überhaupt nicht zu)";5;"Vielleicht eine Untersuchung, wie sehr der erste Text, bezüglich der fehlenden Beeinflussung durch den Bundesrat auf persönlicher Ebene, die Antworten nachher beeinflusst?";700,14
"45";78;"2026-03-28 13:42:37";12;"de";672597033;"2026-03-28 13:24:02";"2026-03-28 13:42:37";23;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Aargau (AG)";"2 - Links";3;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"7 (stimme voll und ganz zu)";"3";5;"Boa keine Ahnung, vielleicht wie detailgetreu die Erinnerung war";1115,49
"46";79;"2026-03-28 13:36:09";12;"de";1125679339;"2026-03-28 13:25:08";"2026-03-28 13:36:09";19;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"Keine Angabe";1;1;"2/5";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2058;"2038";"2";"3";5;"ich denke es ging darum wie aufmerksam man war, während man den Text gelesen hat";747,41
"47";83;"2026-03-28 13:41:22";12;"de";1827982579;"2026-03-28 13:28:18";"2026-03-28 13:41:22";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Luzern (LU)";"Luzern (LU)";"3 - Eher links";10;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2028";"6";"5";5;"Textverständnis mit angezeigter Zeitangabe ";790,73
"48";85;"";11;"de";850929797;"2026-03-28 13:34:46";"2026-03-28 13:44:58";28;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"4 - Mitte";10;1;"3/4";"Professor für Datenanalyse";2038;"2058";"3";"2";5;"Konzentrationstest";615,75
"49";87;"";11;"de";1934525131;"2026-03-28 14:05:44";"2026-03-28 14:23:37";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Schwyz (SZ)";"Luzern (LU)";"Keine Angabe";14;1;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"3";5;"Vielleicht um zu sehen ob der erste Artikel die eigene Meinung beeinflusst.";1074,98
"50";90;"";11;"de";559207762;"2026-03-28 14:21:39";"2026-03-28 15:34:55";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Nidwalden (NW)";"Nidwalden (NW)";"3 - Eher links";3;1;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"3";5;"Was man in kurzer Zeit merken kann / wie genau man den Text gelesen hat";686,34
"51";92;"2026-03-28 15:32:28";12;"de";728595305;"2026-03-28 15:10:21";"2026-03-28 15:32:28";20;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"St. Gallen (SG)";"Wallis / Valais (VS)";"4 - Mitte";3;1;"1/3";"Kritiker Patrick Mäder, Forscher am unabhängigen Wirtschaftsinstitut NJL";2038;"2058";"4";"3";5;"Aufmerksamkeit beim Lesen zwei verschiedener Texte und worauf der Fokus war.";1329,33
"52";96;"2026-03-28 15:33:30";12;"de";1904337831;"2026-03-28 15:18:06";"2026-03-28 15:33:30";21;"Ja";"Ja";"Nein";"Nein";"Männlich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"5 - Eher rechts";2;1;"3/5";"Keine der oben genannten";2058;"2038";"5";"3";5;"Ka";925,73
"53";97;"2026-03-28 15:29:19";12;"de";541550326;"2026-03-28 15:18:44";"2026-03-28 15:29:19";23;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Thurgau (TG)";"Thurgau (TG)";"4 - Mitte";7;2;"3/5";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2028";"4";"3";5;"keine Ahnung";697,67
"54";103;"2026-03-28 16:11:43";12;"de";1986785934;"2026-03-28 16:02:12";"2026-03-28 16:11:43";22;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zug (ZG)";"Zug (ZG)";"2 - Links";20;2;"Keine der oben genannten";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"4";5;"Je mehr man vom Gesundheitswesen abhängig ist, desto genauer liest man den Text.";624,98
"55";105;"2026-03-28 16:36:19";12;"de";2122317745;"2026-03-28 16:25:23";"2026-03-28 16:36:19";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Aargau (AG)";"Aargau (AG)";"Keine Angabe";30;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"5";"6";5;"Aufmerksamkeit testen. Genauigkeit im lesen.";744,75
"56";106;"";11;"de";482763478;"2026-03-28 16:45:07";"2026-03-28 16:55:28";25;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Bachelorabschluss (Universität/ETH)";NA;"Luzern (LU)";"Luzern (LU)";"3 - Eher links";4;2;"1/3";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2058;"2038";"5";"5";5;"Wie Texte verarbeitet werden";623,78
"57";107;"2026-03-28 17:03:59";12;"de";223009005;"2026-03-28 16:52:23";"2026-03-28 17:03:59";21;"Ja";"Ja";"Nein";"Nein";"Weiblich";"Gymnasium/Maturität";NA;"Zürich (ZH)";"Zürich (ZH)";"3 - Eher links";1;1;"1/2";"BAG interne Wissenschaftler:innen, darunter eine Coautorin des Berichts";2038;"2058";"3";"4";5;"Wie gut ich verschiedene texte aufnehmen kann";695,49
